Time resolution is 1 ps

[DEBUG] Time: 175000 | EVENT: ENCAP START
[DEBUG] m_in (at start): 00000001
[DEBUG] Time: 265000 | SHAKE DIN : 40000140
[DEBUG] Time: 275000 | SHAKE DIN : 80000088
[DEBUG] Time: 295000 | SHAKE DIN : 01000000
[DEBUG] Time: 315000 | SHAKE DIN : 02000000
[DEBUG] Time: 335000 | SHAKE DIN : 03000000
[DEBUG] Time: 355000 | SHAKE DIN : 07000000
[DEBUG] Time: 375000 | SHAKE DIN : 00000003
[DEBUG] Time: 1175000 | SHAKE DOUT: 505c1f39
[DEBUG] Time: 1185000 | SHAKE DOUT: 488680be
[DEBUG] Time: 1195000 | SHAKE DOUT: fe143d50
[DEBUG] Time: 1205000 | SHAKE DOUT: 66697974
[DEBUG] Time: 1215000 | SHAKE DOUT: 9b327b52
[DEBUG] Time: 1225000 | SHAKE DOUT: bef6d845
[DEBUG] Time: 1235000 | SHAKE DOUT: e3e0eeb8
[DEBUG] Time: 1245000 | SHAKE DOUT: 7db088db
[DEBUG] Time: 1255000 | SHAKE DOUT: 61508b55
[DEBUG] Time: 1265000 | SHAKE DOUT: 016e8f05
[DEBUG] Time: 1315000 | SHAKE DIN : 40002b80
[DEBUG] Time: 1335000 | SHAKE DIN : 80000148
[DEBUG] Time: 1355000 | SHAKE DIN : 505c1f39
[DEBUG] Time: 1375000 | SHAKE DIN : 488680be
[DEBUG] Time: 1395000 | SHAKE DIN : fe143d50
[DEBUG] Time: 1415000 | SHAKE DIN : 66697974
[DEBUG] Time: 1435000 | SHAKE DIN : 9b327b52
[DEBUG] Time: 1455000 | SHAKE DIN : bef6d845
[DEBUG] Time: 1475000 | SHAKE DIN : e3e0eeb8
[DEBUG] Time: 1495000 | SHAKE DIN : 7db088db
[DEBUG] Time: 1515000 | SHAKE DIN : 61508b55
[DEBUG] Time: 1535000 | SHAKE DIN : 016e8f05
[DEBUG] Time: 1555000 | SHAKE DIN : 00000002
[DEBUG] Time: 2295000 | SHAKE DOUT: 80e63b38
[DEBUG] Time: 2305000 | SHAKE DOUT: 67669555
[DEBUG] Time: 2325000 | SHAKE DOUT: dd1111c1
[DEBUG] Time: 2335000 | SHAKE DOUT: 392f169f
[DEBUG] Time: 2345000 | SHAKE DOUT: 27cfcc1d
